id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
804619,A Little Death,0.0,0,Released,1994-01-01,0,10,False,,14426,,tt0389114,en,A Little Death,The film explores spatial problems through character and camera choreography.,0.6,,,,James Wallace Productions,New Zealand,,
1419785,The Monongahala Mongoloid,0.0,0,Released,2002-01-01,0,9,False,,0,,,en,The Monongahala Mongoloid,A bloodthirsty teenage girl and her mentally disadvantaged mother terrorize a rural boardinghouse in Pennsylvania.,0.6,/2lsF1UOcIiXV7ippZyK6mLW3QE3.jpg,,,,United States of America,,
521494,Transformers: Titans Return,6.922,198,Released,2017-11-14,0,117,False,/y71J24BNl00V1CMJeFJEljKMk5i.jpg,0,https://www.youtube.com/channel/UCcMTZY1rFXO3Rj44D5VMyiw,tt7156718,en,Transformers: Titans Return,"After the Combiner Wars ended, Cybertron started to be rebuilt. However, an undead Starscream has been reincarnated as Trypticon, wreaking havoc around him. To combat this menace, Windblade gathers up a ragtag team of Transformers, including Optimus Prime and Megatron, to resurrect an ancient ally. And while some may be forever changed by the events, others may not emerge with their sparks intact.",5.556,/nP4nfW0E1cl1dAy6j8iKHsJRyQ2.jpg,,"Adventure, Science Fiction, Fantasy","Machinima, Inc., Hasbro Studios, Tatsunoko Production",United States of America,"English, German",transforming robot
1500350,Potępieniec,10.0,1,Released,2025-05-31,0,0,False,/jc4XdspYepnGZupqrrGGVcAeUKF.jpg,400,,,pl,Potępieniec,,0.0786,/ogf2lmFMCjcCEoaCyOip3yvkm7O.jpg,,"Comedy, Crime",Kwiatek Productions,Poland,Polish,"hell, revenge, murder, duel, devil, demon, journey"
834102,Agamemnon in New York,0.0,0,Released,1964-01-01,0,4,False,,0,,,en,Agamemnon in New York,"What started as a film test on new sync-sound film equipment quickly became a short film documenting the typical nuttiness behind the scenes at Goldsholl Design & Film Associates, a Chicago-based design firm that employed both Wayne Boyer and Larry Janiak. Janiak ad libs alone, as no one else would come out from the behind the camera. Shot by Boyer and edited by Janiak, a home movie.",0.6,/9pFBnTsOakn7ONNRtVwsdRuT23V.jpg,,,,,,
1043697,To The World With You,0.0,0,Released,2022-11-11,0,0,False,/3EDWYHKRWLxC642JqaZLsPx8bli.jpg,0,,,zh,陪你在全世界长大,,0.6,/y78knerZcvOdnqfIxDRkO8dlssu.jpg,,Documentary,,,Mandarin,
451142,Zombrex: Dead Rising Sun,3.5,2,Released,2010-04-07,0,90,False,,0,,tt1816082,ja,Zombrex: Dead Rising Sun,"Two brothers, wheelchair-bound George and Shin,  break into a warehouse to escape zombies. They are beaten by thugs and a nurse rescues one brother but they are both bitten by zombies...they must find a cure in time to prevent themselves from becoming zombies.",0.6,/f0snl3ZswHBnTebcDeXAI8rgcWz.jpg,,Horror,,Japan,Japanese,
1110606,John Schofield Live In 3 Ways,0.0,0,Released,2005-04-06,0,55,False,/rp6JFlFV4uFKgagA4ihBKO8vOxs.jpg,0,,,en,John Schofield Live In 3 Ways,"Arguably the best of the bunch is John Scofield's Live 3 Ways, which finds the guitarist in three different contexts: a trio with Don Pullen on organ and Marvin ""Smitty Smith on drums; a duo with pianist Dr. John; and his touring quartet of the time, featuring saxophonist Joe Lovano, bassist Anthony Cox and drummer John Reilly. The only shame about the DVD is that it is so short — at only 50 minutes, with 13 given to the trio, 9 to the duo and the remaining 28 to the quartet. Still, with performances this strong we should be thankful for what we get.",0.6,/f3yPL5RxZEUD4O0LqwZa0FtHR5z.jpg,,,,,,
780392,Flush,6.0,1,Released,2020-11-21,0,3,False,/7ONxno1w5TMVtOt5u32XeKv8Ung.jpg,0,,tt13713346,en,Flush,A subdued worker serves a swollen man bound in an endless cycle of simultaneous consumption and defecation. A series of unprecedented events follow after the worker is forcibly laid off.,0.637,/5Z3tw9OTzGj1odX8GP9ejWAIgtO.jpg,,Animation,University of the Philippines Film Institute,Philippines,No Language,
376583,Kikaninchen - Sag Hallo zu den Jahreszeiten,8.0,1,Released,2014-08-28,0,0,False,,0,,,de,Kikaninchen - Sag Hallo zu den Jahreszeiten,,0.6,,,Family,Universal Vertrieb,Germany,German,
